;input;path;Lev;generated
518;mouse 13 13;О Ф Х А Х Ц Г Я М И К А Д С Ш Р Ш С Д Х Ц Г Ц Г Ц Ф М Я Г Ц Х А К И М Я Г Я М О Ы О И Л Е Р;37; О Ф Х А Х Ц Г Я М Т
519;mouse 13 14;О Ы О М Я Г Ц Х А К Х Ц Г Я Э Я Г Я М И К А Х Ц Г Я Э Ж Т Щ У Щ Т;25; О Ф Х А Х Ц Г Я М Т
520;mouse 13 15;О Ф Х А К И Ф Х А Х Ц Х А К Д С Ш Р Ш С Д С Ш Р;18; О Ф Х А Х Ц Г Я Э Т
521;mouse 13 16;О Ф Х А К И М Я Г Я М И Л Е Р;8; О Ф Х А Х Ц Г Я М Т
522;mouse 13 17;О Ф Х А Х Ц Г З У Щ Т Щ У З Г Ц Ф И К А Х Ц Х Ц Г Ц Ф Ц Г Ц Ф И Л Е Р;28; О Ф Х А Х Ц Г Я М Т
523;mouse 13 18;О Ф Х А К И М И М Я Г Ц Х А К И Ф Ц Г З У Щ Т;16; О Ф Х А Х Ц Г Я М Т
524;mouse 13 19;О И К А Х Ц Г Ц Я М И М Я Г Я Ц Ф М Я Г Ц Х А Х Ц Г Ц Х А К И М Я Г Я Э Ж Т;30; О Ф Х А Х Ц Г Я М Т
525;mouse 15 1;О Ф Х А К И М Я Г Ц Х А К Л Е Р;7; О Ф Х А К И М Я Г Т
526;mouse 15 2;О Ф Х А Х Ц Г Я М И К А Д С Ш Р Ш С Д Х Ц Я М О Ы О И К А Х Ц Г Ц Ф И К А Х Ц Г Я Э Ж Т;35; О Ф Х А Х Ц Г Я Э Т
527;mouse 15 3;О Ф Х А Х Ц Г Ц Г Я М И К А Д Х Ц Г Я М И К А Х Ц Г Ц Ф И К А Х Ц Г Я Э Ж Т;29; О Ф Х А Х Ц Г Я Э Т
528;mouse 15 4;О И К А Х Ц Г Я М И Л Е Р;7; О Ф Х А Х Ц Г Я Э Т
529;mouse 15 5;О Ф Х А Х Ц Г Я М И К А Х Ц Г Я М И К А Д С Ш Р;16; О Ф Х А Х Ц Г Я Э Т
530;mouse 15 6;О Ф Х А Х Ф М Я Г Я Э Ж Т Щ У Щ Т;9; О Ф Х А Х Ц Г Я Э Т
531;mouse 15 7;О И К А Х Ц Г Ц Ф И Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
532;mouse 15 8;О Ф Х А Х Ц Г Я М И Л К А Х Ц Г Я Э Ж Т;11; О Ф Х А Х Ц Г Я Э Т
533;mouse 15 9;О И К А Х Ц Г Ц Ф М Я Г Я М И Л Е Р;12; О Ф Х А Х Ц Г Я Э Т
534;mouse 15 10;О Ф Х А Х Ц Г Ц Ф М Я Г Я Э Ж Т;7; О Ф Х А Х Ц Г Я Э Т
535;mouse 15 11;О Ф Х А Х Ц Г З У Щ Т;4; О Ф Х А Х Ц Г Я Э Т
536;mouse 15 12;О Ф Х А Х Ц Г Ц Х К И Ф Ц Г Ц Ф И К А Д С Ш Р;16; О Ф Х А Х Ц Г Я Э Т
537;mouse 15 13;О Ф Х А Х Ц Г Я Э Ж Т Щ У Щ Т;6; О Ф Х А Х Ц Г Я Э Т
538;mouse 15 14;О И К А Х Ц Г Ц Ф М Я Г Ц Х А Х Ц Я М Э Ж Т Щ У Щ Т;19; О Ф Х А Х Ц Г Я Э Т
539;mouse 15 15;О Ф Х А К И Ф Х А Х Ц Г Ц Ф М Я Г Ц Ф О Ы О И Л Е Р;18; О Ф Х А Х Ц Г Я Э Т
540;mouse 15 16;О Ф Х А Х Ц Г Ц Ф М Я Г Ц Ф И К А К Л Б Е Р;14; О Ф Х А Х Ц Г Я Э Т
541;mouse 15 17;О Ф Х А Х Ц Г Я Э Ж Т Щ У З Я М И М Я М Э Ж Т;14; О Ф Х А Х Ц Г Я Э Т
542;mouse 15 18;О Ф Х А К Л Е Р Ш С Д А Х Ц Г Ц Х К И Ф Ц Г З У Щ Т;19; О Ф Х А Х Ц Г Я Э Т
543;mouse 15 19;О Ф Х А К И М Я Г З У Щ Т;8; О Ф Х А Х Ц Г Я Э Т
544;mouse 15 20;О И К А Х Ц Г Ц Ф М Я Г Я М И Ф Х А Х Ц Х Ц Г З У Щ Т;20; О Ф Х А Х Ц Г Я Э Т
545;mouse 16 1;О Ф Х А Х Ц Г З У Щ Т;6; О Ф Ц Г Я Э Ж Т Т
546;mouse 16 2;О Ф Х А Х Ц Г Я Э Ж Т;2; О Ф Х А Х Ц Г Я Э Т
547;mouse 16 3;О Ф Х А К Л Е Р Ш С Д А Х Ц Г З У Щ Т;12; О Ф Х А Х Ц Г Я Э Т
548;mouse 16 4;О Ф Х А К И М Я Г Ц Х А К И Ф Ц Г Я Э Ж Т;12; О Ф Х А Х Ц Г Я Э Т
549;mouse 16 5;О Ф Х А К И Ф Ц Г Я М И К А Д С Ш Р;11; О Ф Х А Х Ц Г Я Э Т
550;mouse 16 6;О Ф Х А К И Ф Ц Г Я Г З У Щ Т;8; О Ф Х А Х Ц Г Я Э Т
551;mouse 16 7;О Ф Х А Х Ц Г Ц Ф О Ы О И К А Д С Ш Р;12; О Ф Х А Х Ц Г Я Э Т
552;mouse 16 8;О Ф Х А К И Ф Ц Г З У Щ Т;7; О Ф Х А Х Ц Г Я Э Т
553;mouse 16 9;О Ф Х А К И М Я Г Ц Х Ф Ц Г Ц Х А К И Ф Ц Г З У Щ Т;19; О Ф Х А Х Ц Г Я М Т
554;mouse 16 10;О И К А Х Ц Г Я Э Ж Т;4; О Ф Х А Х Ц Г Я Э Т
555;mouse 16 11;О Ф Х А Х Ц Г Я М Я Г З У Щ Т;7; О Ф Х А Х Ц Г Я Э Т
556;mouse 16 12;О И К А К И Ф Ц Г З У Щ Т;9; О Ф Х А Х Ц Г Я М Т
557;mouse 16 13;О И К А К И Ф Ц Г Я Э Ж Т Щ У Щ Т;11; О Ф Х А Х Ц Г Я Э Т
558;mouse 16 14;О И К А Х Ц Г Я Э Ж Т;4; О Ф Х А Х Ц Г Я Э Т
559;mouse 16 15;О Ф Ц Г Я М И Л Е Р Ш С Д А Х Ц Г Я М И Л К Х Ц Г Ц Ф О Ы О И К А Д С Ш Р;30; О Ф Х А Х Ц Г Я Э Т
560;mouse 16 16;О И К А К И Л Е Р;7; О Ф Х А Х Ц Г Я Э Т
561;mouse 16 17;О Ф Х А Х Ф М Я Г Ц Х А Х Ф И М Я Г Я Э Ж Т Щ У З Г Ц Х К И Ф Ц Г Я Э Ж Т Щ У Щ Т;32; О Ф Х А Х Ц Г Я Э Т
562;mouse 16 18;О Ф Х А К И М Я Г Ц Х А К Л Е Р;11; О Ф Х А Х Ц Г Я Э Т
563;mouse 16 19;О Ф Х А Д С Ш Р Е Л И Ф Ц Г Я М И К А Д А Х Ц Г Ц Ф О Ы О И Л Е Р;26; О Ф Х А Х Ц Г Я Э Т
564;mouse 16 20;О Ф Х А К И Ф Ц Г Я Э Ж Т Щ У Щ Т;9; О Ф Х А Х Ц Г Я Э Т
565;mouse 16 21;О И К А Х Ц Г Ц Ф Ц З У Щ Т;9; О Ф Х А Х Ц Г Я Э Т
566;mouse 18 1;О Ф Х А К И М Я Г З У Щ Т;9; О Ф Ц Г Я Э Ж Т Т
567;mouse 18 2;О Ф Х А К И М Я Г Ц Х К Л Е Р;7; О Ф Х А К Л Е Р Т
568;mouse 18 3;О Ф Х А Х Ц Г Я М И К А К Д С Ш Р;12; О Ф Х А К И М Я Г Т
569;mouse 18 4;О Ф Х А Х Ц Г З У Щ Т;7; О Ф Х А К И М Я Г Т
570;mouse 18 5;О Ф Х А К И М Я Г Ц Х А К И М Я З У Щ Т;14; О Ф Х А Х Ц Г Я М Т
571;mouse 18 6;О Ф Х А К И М Я Г З У Щ Т;8; О Ф Х А Х Ц Г Я Э Т
572;mouse 18 7;О Ф Х А К И Ф Ц Г Я М И Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
573;mouse 18 8;О Ф Х А К И М Я Г З У Щ Т;8; О Ф Х А Х Ц Г Я Э Т
574;mouse 18 9;О И Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
575;mouse 18 10;О И Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
576;mouse 18 11;О Ф Х А К И Ф Ц Г Ц Ф М Я Г Я Э Ж Т;10; О Ф Х А Х Ц Г Я Э Т
577;mouse 18 12;О Ф Х А Х Ц Г Я М И К А Д С Ш Р Ш С Д Х Ц Г Я Ц Ф О Ы О И К А Х Ц Г Я Э Ж Т Щ У Щ Т;33; О Ф Х А Х Ц Г Я Э Т
578;mouse 18 13;О Ф Х А Х Ц Г Ц Ф М Я Э Ж Т Щ У З Г Ц Х А Х Ц Г Я М И Л Е Р;21; О Ф Х А Х Ц Г Я Э Т
579;mouse 18 14;О Ф Х А Х Ц Г Ц Ф М Я Г Я М И К А К Д С Ш Р Ш С Д А Х Ц Г Ц Ф Х К И Ф И К А Х Ц Г З У Щ Т;37; О Ф Х А Х Ц Г Я Э Т
580;mouse 1 1;О М Э Я Г Я М О Ы О И К И Л И М Я Г Я Э М И Л К Д С Ш Е Л И М И М И К Д С Ш Р Ш С Д С Ш Е Л И О Ы О И М Я З У Щ Т;51; О Ф Х А К Л Е Р Ш Т
581;mouse 2 1;О Ф Х Д С Ш Р;5; О Ф Х А К Л Е Р Ш Т
582;mouse 2 2;О Ф Ц З У Щ Т Ж Э Я Г З У З Ц Х Д С Ш Е Л К А Х Ц З У Щ Т Ж Э М И К И М Э М О Ы О Ф Х Ц Я З У Щ Т;44; О Ф Х А К Л Е Р Ш Т
583;mouse 2 3;О Ф И Л Е Р Ш С Д А Х Ц З У Щ Т Щ У З Я Э М И Л Е Ш Р;23; О Ф Х А К И М Я Г Т
584;mouse 2 4;О Ф Х Д С Ш Р Ш С Д А К И М Я Г Я Э Ж Т Щ У Щ Т;15; О Ф Х А К И М Я Г Т
585;mouse 2 5;О Ф Х Д Х Ф Ц З У Щ Т;8; О Ф Х А К И М Я Г Т
586;mouse 2 6;О И М Я Г Ц Х Д С Ш Р;10; О Ф Х А К И М Я Г Т
587;mouse 2 7;О И М И Л К Д Х К И М Я Э М О Ы О Ф Ц З У Щ Т;18; О Ф Х А К И М Я Г Т
588;mouse 2 8;О Ф Ц Г Я М Я Г Ц Х К И М Я Э М Я Ц Х К Х Д С Ш Р;19; О Ф Х А К И М Я Г Т
589;mouse 3 1;О Ф Ц Я Э М И К А Х Ц Х А Д С Ш Р;13; О Ф Х А К Л Е Р Ш Т
590;mouse 3 2;О Ф Ц Я М И Л Б Е Р Е Л К А Х Ф М Я Г З У Щ Т;18; О Ф Х А К Л Е Р Ш Т
591;mouse 3 3;О И К А Х Ф М Э Ж Т Щ У З Г Я М О Ы О М Я Г Ц Х К Л Б Е Р;24; О Ф Х А К И М Я Г Т
592;mouse 3 4;О Ф Х А К И М Э Я Г З У Щ Т Щ У З Г З У Щ Т Ж Э М И К Д С Ш Р Е Л К А К И М Я Г Я Э М И Л Е Р;38; О Ф Х А К И М Я Г Т
593;mouse 3 5;О И Л Б Л К А Х Д Х Ц Г З У Щ Т;13; О Ф Х А К И М Я Г Т
594;mouse 5 9;И Ф Х;7; О Ф Х А Х Ц Г Я М Т
595;mouse 5 1;О Ф Х А К Л Е Р Е Л И М Я Г Ц Х А Д С Ш Р;12; О Ф Х А К Л Е Р Е Т
596;mouse 5 2;О Ф Ц Г З У Щ Т Ж Э М Ф Ц Г Я М О Ы О И К А Х Ц Г Я Э М И Л Е Р Ш С Д Х Ф Ц Г Я М И Л И О Ы О М Э Ж Т;46; О Ф Х А К И М Я Г Т
597;mouse 5 3;О Ф Ц Г Я М И Л Е Р Е Л И М Э Ж Т;13; О Ф Х А К И М Я Г Т
598;mouse 5 4;О Ф Ц Г Ц Х А К И М Э Я З У Щ Т;8; О Ф Х А К И М Я Г Т
599;mouse 5 5;О Ф Х А К А Х Ц Г Я М Ф Х Ц Я Э В Ж Т Щ У З Г Ц Х А Х Ф О Ы О М Э В Э Я Г З У Щ Т;33; О Ф Х А К И М Я Г Т
600;mouse 5 6;О Ф Ц Г Я М Ф Х А К Л И М Я Г Ц Х Ц Г Я М И К Х Ф М Э Ж Т;20; О Ф Х А К И М Я Г Т
601;mouse 5 7;О Ф Ц Г З У Щ Т Ж Э Я Г Ц Х А К И М И Л И М Э Ж Т;18; О Ф Х А К И М Я Г Т
602;mouse 5 8;О Ф Х А К И М И Л Б Е Р Ш С Д А Х Ц Г Я М О Ы О Ф Ц Г Я М И К А К Л Е Р;27; О Ф Х А К И М Я Г Т
603;mouse 5 9;О Ф Ц Г З У З Г З У З Г Ц Х Ф Ц Г Ц Х А Д А Х Ц Г Я М И Х А Х Ц Г З У Щ Т;28; О Ф Х А Х Ц Г Я М Т
604;mouse 5 10;О Ф Ц Г Я М И К А Д Х Ц Г Я Э Ж Т;10; О Ф Х А Х Ц Г Я М Т
605;mouse 4 1;О Ф Ц Г Я Э М И К А Х Ц Г Я М И Л Е Р Е Л К А Х А К И М Я Г Ц Ф И М Я Г Я М И Л Е Л И М Э Ж Щ У Щ Т;43; О Ф Х А К Л Е Р Ш Т
606;mouse 4 2;О Ф Х А Д С Ш Р Ш С Д А Х Ц Г З У З Ц Ф И К А Х Ф И К А Х Ц Ф М Я Г Ц Ф Х К Х Ф Х А Х Ц Г З У Щ Т;40; О Ф Х А К И М Я Г Т
607;mouse 4 3;О М И К А Х А К И М Я Г Ц Ф Ц Г Я Э Я Ц Х Д С Ш Р Е Л И М Я М И К А К И М Э Ж Щ У Щ Т Ж Э М И Л Б Л К А Х Ф М И Л Е Р;51; О Ф Х А К И М Я Г Т
608;mouse 4 4;О И Л И Ф Ц Г Я Г Ц Х Д А Х А К А Х Ф О Ы О И Л Е Р;20; О Ф Х А К И М Я Г Т
609;mouse 5 1;О Ф Ц Я М И К А К Л Е Р;6; О Ф Х А К Л Е Р Е Т
610;mouse 5 2;О Ф Ц Г Я Э В Э М И К А К И М Я Г З У Щ Т;13; О Ф Х А К И М Я Г Т
611;mouse 5 3;О Ф Х К Л К А Х Ц Г Я М О Ы О И К А К И М Я Г Я Э М И Л И М И К А Д С Ш Р;28; О Ф Х А К И М Я Г Т
612;mouse 5 4;О Ф Ц Х А К И Ф Ц Г Я М И Л Б Л К А Х К А Х Ц Г Я М О Ы О И К А К И Ф Ц З У Щ Т Ж Э М И К А Х Ц Ф М Э М И Л Е Р Ш С Д Х Ц Г Ц Г Я Ц Х Д С Ш Р Ш С Д Х Ц Г Я Э Я Ц Х Ф И Л Е Р;78; О Ф Х А К И М Я Г Т
613;mouse 5 5;О Ф Ц Г Я Г Ц Х К А Х А К И Ф Ц Г Ц Г З У Щ Т Щ У З Г Я Г Я М И К А Х Ц Я Э М О И Л Е Р;36; О Ф Х А К И М Я Г Т
614;mouse 6 1;О Ф Ц Г Я Э М И К А Х Д С Ш Р;11; О Ф Х А К Л Е Р Т
615;mouse 6 2;О Ф Ц Г Я Э Ж Щ У Щ Т Щ У З Ц Ф Х А К А Х Ц Г Я;18; О Ф Х А К И М Я Г Т
616;mouse 6 2;Я Г Я М Э Я Г Я М И Л Е Р Е Л И Ф Х К И М Я Г З У Щ Т Ж Э М И Л Е Р;28; О Ф Х А К И М Я Г Т
617;mouse 6 3;О Ы О И Л Е Р Е Л К А К Д С Ш Р Ш С Д А Х Ф Ц Г Я М И К А К И М Э М И К А Х Ц Г З У Щ Т;37; О Ф Х А К И М Я Г Т
618;mouse 6 4;О Ф Ц Г З У Щ Т Щ У З Г Ц Х А К И О Ы О И Л Е Р;18; О Ф Х А К И М Я Г Т
619;mouse 6 5;О Ф Ц Г Я М И К А Х Ц Г Я Ц Х А К И К А К Л Б Е Р Ш С Д А Х Ц Г Я З У Щ Т Щ У З Ц Г Я М И Л К А Х Ф Х Ц Ф О Ы О И Л К А Д С Ш Р Ш С Д А Х К О Е Ц О Ы Т О Г О В Р Е М Е И Ц Г Я Э В Э М И Л Е Р;88; О Ф Х А К И М Я Г Т
620;mouse 8 5;Х Ц Г Я;7; О Ф Х А К И М Я Г Т
621;mouse 8 1;О Ф Ц Г З У Щ Т Щ У З Г Ц Х А Д С Ш Р;14; О Ф Х А К Л Е Р Т
622;mouse 8 2;О Ф Х А К И М Я Г Ц Х А К И М Я Г З У Щ Т;12; О Ф Х А К И М Я Г Т
623;mouse 8 3;О Ф Х А К Л К А Д С Ш Р Ш С Д С Ш Р;13; О Ф Х А К И М Я Г Т
624;mouse 8 4;О Ф Ц Г З У З Г Ц Х А Д С Ш Р Е Л И М Я Г Ц Ф Х К И М Я Г Я Э В Э М Я Г Ц Ф Ц Г Я М И К А Х Ц Х А Х Ц Г Я Э Я Г Я Э В Э М О Ы О И Л Е Р;59; О Ф Х А К И М Я Г Т
625;mouse 8 5;О И К А Х Ц Г Я З У Щ Т Ж Э М И К А Х Ф И К А Х Ц Г Я Э М И К А М И Л Е Р Е Л И М И Л К А Х Ц Г Я М И Л К Х Ц Г Ц Ф М Я Ц Х К Л Е Р;58; О Ф Х А К И М Я Г Т
626;mouse 7 1;О Ф Ц Г Я Э М И К А Х Ц Х А К И М Я Г Я Э М И Л Е Р;18; О Ф Х А К Л Е Р Т
627;mouse 7 2;О Ф Х А Д С Ш Р Ш С Д А Х Ц Г З У Щ Т Щ У З Г Ц Ф Х К И М Я Г Я М И К А Х Ф Ц Г З У Щ Т Щ У З Г Ц Х А К И К А Х Ц Ф И Л Е Р Е Л К А Х А К И М Я Г Я Э В Э М И Л Е Р;73; О Ф Х А К И М Я Г Т
628;mouse 7 3;О И К А Х Ц Г Я М И Л Е Р Ш С Д А Х Ц Г Я Э М И Л Е Р;23; О Ф Х А К И М Я Г Т
629;mouse 7 4;О Ф Ц Г Я М И К А Х Ц Г Ц Х А К Д С Ш Р Ш С Д А Х Ф И К А Х Ц Г Я М И Л И Л К А Х Ц Г Ц Х А К И О Ы О И Л Б Е Р;48; О Ф Х А К И М Я Г Т
630;mouse 9 1;О Ф Ц Г Я М И К А Х Ц Г Я Э Ж Т;12; О Ф Х А К И М Я Г Т
631;mouse 9 2;О Ф Х А К И М Я Г З У Щ Т;4; О Ф Х А К И М Я Г Т
632;mouse 9 3;О Ф Ц Г Я Э М И К А Х Ф Х А Х Ц Г З У Щ Т;17; О Ф Х А К И М Я Г Т
633;mouse 9 4;О Ф Ц Г Я М И К А Д С Ш Р Ш С Д А Х Ц Г Я М И К А Х Ф М И К А Х Ц Г Я М И Л К А Х Ц Г Я М О Ы О И М Я Г Ц Ф И Л И М Э Ж Т;52; О Ф Х А Х Ц Г Я М Т
634;mouse 9 5;О Ф Ц Г Я Э М И К А Х Ц Г Ц Х А Х Ц Г Ц Ф И К А Х Ц Х А К И Ф Х А Д С Ш Р Ш С Д А Х Ц Г Я М И К А К А Х Ц Ф;45; О Ф Х А Х Ц Г Я М Т
635;mouse 9 5;Ф Ц Г Ц Ф Х А К И М Я Г Я Э Ж Т Ж Э М И К А Х Ф Х Ц Г Я М О Ы О И Л Е Р;28; О Ф Х А Х Ц Г Я М Т
636;mouse 9 6;О Ф Ц Г Я Э М И К А Х Ц Г Я Э Ж Т Щ У З Г Ц Х А Х Ц Г Я М И К А К Л Е Р Е Л И Ф Ц Г Ц Ф Х А Х Ц Г Я Г З У Щ Т;46; О Ф Х А Х Ц Г Я М Т
637;mouse 9 7;О И К А Х Ц Г Ц Х А Х Ц Г Я Э Ж Т Щ У З Г Ц Ф И К А Х Ц Г Я М И К А К А Х Ц Г Я М И Л Е Р;36; О Ф Х А Х Ц Г Я М Т
638;mouse 16 4;О Ф Ц Г;5; О Ф Х А Х Ц Г Я Э Т
639;mouse 16 1;О Ф Ц Г Я М И К А Д С Ш Р;8; О Ф Ц Г Я Э Ж Т Т
640;mouse 16 2;О Ф Ц Г Я М И К А Х Ц Ф М И К А Д С Ш Р;15; О Ф Х А Х Ц Г Я Э Т
641;mouse 16 3;О Ф Ц Г З У Щ Т Щ У З Г Я М И К А К Л Е Р;17; О Ф Х А Х Ц Г Я Э Т
642;mouse 16 4;Я Г Ц Х А К Л К Х К И М Э Ж Т Щ У З Г Ц Х А К Л Е Р;22; О Ф Х А Х Ц Г Я Э Т
643;mouse 16 5;О Ф Ц Г Я М И К А Д С Ш Р;11; О Ф Х А Х Ц Г Я Э Т
644;mouse 16 6;О Ф Ц Г Я М И К А Х Ф И К А Д С Ш Р Ш С Д А Х Ф М Я Г Ц Х А Х Ц Г Я М И М Я Г Ц Х А К И М Я Г Ц Х А К И Ф Ц Г Я Э Ж Т Щ У Щ Т;54; О Ф Х А Х Ц Г Я Э Т
645;mouse 16 7;О Ф Ц Г Я М И К А Х Ц Г Ц Х А Д С Ш Р;13; О Ф Х А Х Ц Г Я Э Т
646;mouse 16 8;О Ф Ц Г Я М И К А Х Ц Г Я М И Л Е Р Ш С Д С Ш Р;17; О Ф Х А Х Ц Г Я Э Т
647;mouse 16 9;О Ф Ц Г Я Э М И Л Е Р;8; О Ф Х А Х Ц Г Я М Т
648;mouse 16 10;О Ф Ц Г Я М Э Ж Т Щ У Щ Т Щ У З Ц Х А К Л Е Р;20; О Ф Х А Х Ц Г Я Э Т
649;mouse 16 11;О Ф Ц Г Я М И Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
650;mouse 16 12;О Ф Ц Г Я М И К А К Л Е Р;10; О Ф Х А Х Ц Г Я М Т
651;mouse 16 13;О Ф Ц Г Ц Х А Х Ц Ф О Ы О И Л Е Р;11; О Ф Х А Х Ц Г Я Э Т
652;mouse 16 14;О Ф Ц Г Я М И Л К Х Ф И К А К И М Я Г Я М И К А Х А К Л Е Р;24; О Ф Х А Х Ц Г Я Э Т
653;mouse 16 15;О Ф Ц Г Я Ц Х К И К А Х Ц Г Я М И К А Х Ц Ф И К А Х Ф М Я Г Я М И Л И М Я Г Я М И К А Х Ф И М Э В Э М И Л Е Р;46; О Ф Х А Х Ц Г Я Э Т
654;mouse 13 13;О Ф Ц Г Я Г Я М И К А Х Ц Х Д С Ш Р;13; О Ф Х А Х Ц Г Я М Т
655;mouse 13 1;О Ф Ц Г Ц Х А К И М Э Ж Т;6; О Ф Х А К И М Я Г Т
656;mouse 13 2;О Ф Ц Г Я М И К А Д С Ш Р;11; О Ф Х А Х Ц Г Я Э Т
657;mouse 13 3;О Ф Ц Г Я М И К А Х Ц Г Я М Ф Х А Д С Ш Р;14; О Ф Х А Х Ц Г Я Э Т
658;mouse 13 4;О Ф Ц Г Я М И К А Х Ф И К А Х Ц Г Ц Х А К Л Е Р;17; О Ф Х А Х Ц Г Я М Т
659;mouse 13 5;О Ф Ц Г Я М И К А Х Ц Г Ц Ф И Л Е Р;12; О Ф Х А Х Ц Г Я М Т
660;mouse 13 6;О Ф Ц Г Я М И К А Д С Ш Р Е Л И М Э М И К А Х Ф И Л Е Р;24; О Ф Х А Х Ц Г Я М Т
661;mouse 13 7;О Ф Ц Г Ц Ф О Ы О И К А Д С Ш Р;14; О Ф Х А Х Ц Г Я М Т
662;mouse 13 8;О Ф Ц Г Я Э М И К А Х Ц Г Ц Ф М И Л Е Р;13; О Ф Х А Х Ц Г Я М Т
663;mouse 13 9;О Ф Ц Г Ц Ф М Э Ж Т Щ У З Я М И Л Е Р Ш С Д А Х Ц Г Я М И Л Е Р;24; О Ф Х А Х Ц Г Я М Т
664;mouse 13 10;О И Л Е Р;8; О Ф Х А Х Ц Г Я М Т
665;mouse 13 11;О Ф Ц Г З У Щ Т Щ У З У Щ Т Щ У З Г Ц Х А Х К А Д С Ш Р Ш С Д А Х Ц Г Ц Х Д Х К И Ф Ц Г Я М И К А К Л И М Я Г Я М И К А Х Ф М Я Г Ц Ф И К А К И Ф Ц Г З У Щ Т Щ У З Г Ц Х А К И М Э В Э М И Л Е Р;88; О Ф Х А Х Ц Г Я М Т
666;mouse 13 12;О Ф Ц Г Я Г Я Э М И Л К А Х А К И М И Л Е Р;17; О Ф Х А Х Ц Г Я М Т
667;mouse 13 14;О Ф Ц Г Ц Х А К И Ф Ц Г Я М И К А К Л И М Э Ж Т;16; О Ф Х А Х Ц Г Я М Т
668;mouse 13 15;О Ф Ц Г Ц Х А К Л Е Р Е Л К А Д С Ш Р;15; О Ф Х А Х Ц Г Я Э Т
669;mouse 13 16;О Ф Ц Г Я М И Л Е Р;7; О Ф Х А Х Ц Г Я М Т
670;mouse 13 17;О Ф Х А К И М Э Ж Т;6; О Ф Х А Х Ц Г Я М Т
671;mouse 10 1;О Ф Ц Г Я М И К А К И М Э Ж Т Щ У З Г Ц Х А К Л Е Р;19; О Ф Х А К И М Я Г Т
672;mouse 10 2;О Ф Ц Г Я М И К А Х Ц Г Я Г Я М И К А Д С Ш Р Ш С Д С Ш Е Л И М Я Г Ц Х А К И М Я Э Ж Т Ж Э М И К А Х Ц З У Щ Т Щ У З Г Ц Ф Ц Г Ц Г З У Щ Т;61; О Ф Х А К И М Я Г Т
673;mouse 10 3;О Ф Ц Г Я Г Ц Х А К И М Я Г Ц Х А Х Ц Г Я Г Ц Г З У З Г Ц Х А Д С Ш Р Ш С Д А Х Ф И К А Х Ц Г Ц Ф Х А Х Ц Ф М Я Г Я М И К А Х Ц Г Ц Ф И К А Х К И М Я Г Ц Х А Х Ц Г З У Щ Т Щ У З Г Ц Х А К И М Я Г Ц Ф И К А К И Ф Ц Г Я М И К А Х Ф И Л К А Х Ц Г Ц Х К И Ф Х К И Ф М Я Г Ц Ф О Ы О И Л Е Р;135; О Ф Х А Х Ц Г Я Э Т
674;mouse 10 4;О И К А Х Ц Г Я Э Ж Т Щ У З Г Ц Х А К А Х Ц Г Я М И К И Л К А Х Ф М Я Г Я М И К А Х Ц Я М И К А Х Ф Ц Г Я М И К А Х Ц Г Ц Х А К И М Э Ж Т;60; О Ф Х А Х Ц Г Я М Т
675;mouse 11 1;О Ф Ц Г Я М И К А Х Ц Г Я М И К А Д С Ш Р Ш С Д А Х Ц Г Я Э Ж Т Щ У З Г Ц Ф И К А К Л Е Р;39; О Ф Х А К И М Я Г Т
676;mouse 11 2;О Ф Ц Г Я М И К А Д С Ш Р Ш С Д С Ш Р Е Л К А Х Ц Г Ц Х А К И М Я Г Я Э Ж Т Щ У З Г Ц Х Ф Ц Г Ц Я М И К А Х Ц Г Ц Ф И К А К И М Я Г Ц Х А К И Ф Ц Г Я М И К А Д С Ш Р Ш С Д А Х Ц Г З У Щ Т Щ У З Г Ц Ф И К А К Л Е Р;98; О Ф Х А К И М Я Г Т
677;mouse 11 3;О Ф Ц Г Я М И К А Х Ц Г Я Г Ц Г Я Э М И К А Х Ц Г Ц Х А Х Ф М Я Г Я М И К А К Х Ц Г Я З У Щ Т;39; О Ф Х А Х Ц Г Я Э Т
678;mouse 11 4;О Ф Ц Г Ц Х А К И М Я Г Ц Ф И К А Х Ц Г Ц Ф И К А Х Ф М Я Г Ц Х А К И О Ы О И К А Х Ц Г Ц Г Я Г Я Э Ж Т Щ У З Ц Ф М Э Ж Т Ж Э М И Л Е Р;59; О Ф Х А Х Ц Г Я Э Т
679;mouse 11 5;О Ф Х А Д С Ш Р Ш С Д А Х Ц Г Я М И К А Х Ц Г Ц Г Ц Х А Х К И Ф И К А К А Х Ц Г Ц Х К И М Я Г Ц Ф И К А Х Ц Г Я Э В Э М И К А Х Ц Г Я Э Ж Т;61; О Ф Х А Х Ц Г Я Э Т
680;mouse 12 1;О Ф Ц Г Я М И К А Д С Ш Р;10; О Ф Х А К И М Я Г Т
